model_id,file,predicted_class,confidence,top_classes,top_confidences,embeddings,success,model_name,confidence_pct
model_0,Skywalker_en-AU-jimm.mp3,small,0.7681498527526855,"['small', 'state', 'show', 'today', 'street']","[0.7681498527526855, 0.10027045756578445, 0.04909231886267662, 0.03652830421924591, 0.020497389137744904]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,76.81%
model_0,Skywalker_en-AU-kylie.mp3,seven,0.9859198331832886,"['seven', 'following', 'soon', 'son', 'served']","[0.9859198331832886, 0.0035555886570364237, 0.0035184237640351057, 0.002076178789138794, 0.0017487090080976486]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,98.59%
model_0,Thunderbolt_en-AU-jimm.mp3,public,0.9836443066596985,"['public', 'college', 'father', 'following', 'point']","[0.9836443066596985, 0.015364356338977814, 0.00046155552263371646, 0.0004155329370405525, 4.4706688640872017e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep11,98.36%
model_0,Thunderbolt_en-AU-kylie.mp3,under,0.37032631039619446,"['under', 'county', 'family', 'public', 'college']","[0.37032631039619446, 0.1509227603673935, 0.12697279453277588, 0.11413354426622391, 0.07433320581912994]","tensor([[0.0000, 0.0000, 0.1239,  ..., 0.0000, 0.0000, 0.0000]],
       device='cuda:0')",True,v31_ep11,37.03%
model_1,sam_1.wav,seven,0.45926910638809204,"['seven', 'son', 'sun', 'father', 'himself']","[0.45926910638809204, 0.1974778026342392, 0.13029296696186066, 0.06485111266374588, 0.05726495012640953]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,45.93%
model_1,sam_2.wav,done,0.19566728174686432,"['done', 'himself', 'include', 'important', 'without']","[0.19566728174686432, 0.1925051063299179, 0.10601355135440826, 0.09034211933612823, 0.05076072737574577]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,19.57%
model_1,shambu_1.wav,family,0.4426523745059967,"['family', 'until', 'done', 'become', 'seven']","[0.4426523745059967, 0.1878766119480133, 0.10073159635066986, 0.0803358182311058, 0.049274470657110214]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,44.27%
model_1,shambu_2.wav,young,0.8797315359115601,"['young', 'done', 'really', 'without', 'become']","[0.8797315359115601, 0.04230058193206787, 0.037816572934389114, 0.010581512935459614, 0.010334884747862816]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,87.97%
model_1,alexa_1.wav,under,0.2816563844680786,"['under', 'himself', 'already', 'until', 'idea']","[0.2816563844680786, 0.10972769558429718, 0.10936596989631653, 0.1071944460272789, 0.09507182240486145]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,28.17%
model_1,alexa_2.wav,once,0.22487740218639374,"['once', 'county', 'language', 'point', 'answered']","[0.22487740218639374, 0.12734974920749664, 0.12021563947200775, 0.10481168329715729, 0.055700819939374924]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,22.49%
model_1,alexa_3.wav,include,0.26613643765449524,"['include', 'until', 'county', 'already', 'language']","[0.26613643765449524, 0.16781550645828247, 0.12830489873886108, 0.08024437725543976, 0.05023900046944618]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,26.61%
model_1,alexa_4.wav,point,0.1788453608751297,"['point', 'under', 'company', 'county', 'wanted']","[0.1788453608751297, 0.17833249270915985, 0.11188265681266785, 0.10643532127141953, 0.07579225301742554]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,17.88%
model_1,alexa_5.wav,include,0.7165589332580566,"['include', 'until', 'under', 'end', 'looked']","[0.7165589332580566, 0.17741382122039795, 0.03735809773206711, 0.010592028498649597, 0.009807953611016273]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,71.66%
model_1,shiva_1.wav,idea,0.6429488062858582,"['idea', 'national', 'until', 'himself', 'station']","[0.6429488062858582, 0.08321868628263474, 0.06734541803598404, 0.06369512528181076, 0.03373688459396362]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,64.29%
model_1,shiva_2.wav,nine,0.30373865365982056,"['nine', 'young', 'idea', 'large', 'yes']","[0.30373865365982056, 0.2947097718715668, 0.07167237997055054, 0.05982517451047897, 0.04946485906839371]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,30.37%
model_1,munez_2.wav,morning,0.6525030136108398,"['morning', 'money', 'well', 'away', 'woman']","[0.6525030136108398, 0.07786522060632706, 0.06920807808637619, 0.06667206436395645, 0.051899924874305725]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,65.25%
model_1,munez_3.wav,morning,0.34945857524871826,"['morning', 'woman', 'money', 'really', 'wanted']","[0.34945857524871826, 0.2810874283313751, 0.24100755155086517, 0.030964352190494537, 0.02246093936264515]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,34.95%
model_1,nigga2.wav,music,0.947273850440979,"['music', 'yes', 'near', 'himself', 'mean']","[0.947273850440979, 0.02425828017294407, 0.020800361409783363, 0.004257235210388899, 0.001609322032891214]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,94.73%
model_1,nigga3.wav,music,0.7143730521202087,"['music', 'yes', 'himself', 'near', 'idea']","[0.7143730521202087, 0.24078290164470673, 0.023083148524165154, 0.0203398447483778, 0.001324366545304656]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,71.44%
model_1,kallan_1.wav,without,0.272248774766922,"['without', 'well', 'really', 'himself', 'family']","[0.272248774766922, 0.21455726027488708, 0.09972197562456131, 0.09582196921110153, 0.0884619951248169]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,27.22%
model_1,kallan_2.wav,done,0.33391353487968445,"['done', 'number', 'family', 'sometimes', 'nine']","[0.33391353487968445, 0.11365474760532379, 0.11264966428279877, 0.06643592566251755, 0.057937607169151306]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,33.39%
model_1,Hello1.mp3,done,0.6493838429450989,"['done', 'girl', 'nine', 'heart', 'young']","[0.6493838429450989, 0.2922157049179077, 0.03773466870188713, 0.004199085291475058, 0.0032121932599693537]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,64.94%
model_1,Eliza1.mp3,water,0.8156347274780273,"['water', 'desert', 'father', 'well', 'river']","[0.8156347274780273, 0.09657289832830429, 0.0603983998298645, 0.007874991744756699, 0.0069294641725718975]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,81.56%
model_1,Skywalker_en-AU-jimm.mp3,fire,0.269286572933197,"['fire', 'small', 'father', 'today', 'seven']","[0.269286572933197, 0.2605254054069519, 0.23712874948978424, 0.06790908426046371, 0.04643908888101578]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,26.93%
model_1,Skywalker_en-AU-kylie.mp3,seven,0.9980528354644775,"['seven', 'children', 'following', 'served', 'sometimes']","[0.9980528354644775, 0.0012199132470414042, 0.0003791247436311096, 0.0001336803543381393, 9.669749852037057e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v31_ep9,99.81%
model_1,Thunderbolt_en-AU-jimm.mp3,public,0.9411589503288269,"['public', 'father', 'following', 'college', 'family']","[0.9411589503288269, 0.05093913897871971, 0.005276156589388847, 0.0016622386174276471, 0.0005020711105316877]","tensor([[0.0000, 0.0000, 0.3279,  ..., 0.0000, 0.0000, 0.0000]],
       device='cuda:0')",True,v31_ep9,94.12%
model_1,Thunderbolt_en-AU-kylie.mp3,sometimes,0.9997063279151917,"['sometimes', 'number', 'father', 'himself', 'black']","[0.9997063279151917, 0.0002765971585176885, 3.371750381120364e-06, 3.2276111596729606e-06, 2.915545110226958e-06]","tensor([[0.0000, 0.0000, 0.3115,  ..., 0.0000, 0.0000, 0.0000]],
       device='cuda:0')",True,v31_ep9,99.97%
model_2,sam_1.wav,sun,0.596634030342102,"['sun', 'son', 'seven', 'soon', 'south']","[0.596634030342102, 0.40253639221191406, 0.0007965832483023405, 1.2907237760373391e-05, 1.0140674021386076e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,59.66%
model_2,sam_2.wav,son,0.9876555800437927,"['son', 'sun', 'seven', 'done', 'father']","[0.9876555800437927, 0.012317164801061153, 2.2895526853972115e-05, 2.5541792183503276e-06, 1.1053168691432802e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,98.77%
model_2,shambu_1.wav,done,0.9997480511665344,"['done', 'children', 'young', 'family', 'son']","[0.9997480511665344, 0.00015879365673754364, 7.057387847453356e-05, 2.142028279195074e-05, 1.036004391608003e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,99.97%
model_2,shambu_2.wav,until,0.9999997615814209,"['until', 'done', 'under', 'become', 'really']","[0.9999997615814209, 1.7806486596327886e-07, 1.0951552553706279e-08, 9.775390275024165e-09, 3.9458951661686115e-09]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_2,alexa_1.wav,idea,1.0,"['idea', 'anything', 'until', 'already', 'everything']","[1.0, 4.7279485215767636e-08, 1.008524513901321e-10, 5.120142157477581e-12, 2.2550032316697582e-13]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_2,alexa_2.wav,few,0.9370927810668945,"['few', 'ever', 'everyone', 'play', 'second']","[0.9370927810668945, 0.01982208341360092, 0.014670895412564278, 0.004756229463964701, 0.00375465489923954]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,93.71%
model_2,alexa_3.wav,anything,0.9617340564727783,"['anything', 'everything', 'until', 'idea', 'please']","[0.9617340564727783, 0.037613749504089355, 0.00018623175856191665, 0.00016070080164354295, 0.00010560929513303563]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,96.17%
model_2,alexa_4.wav,anything,0.598382830619812,"['anything', 'well', 'money', 'family', 'early']","[0.598382830619812, 0.2843707799911499, 0.08914104849100113, 0.013587895780801773, 0.005147408694028854]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,59.84%
model_2,alexa_5.wav,idea,1.0,"['idea', 'until', 'under', 'really', 'today']","[1.0, 2.620054173618769e-09, 7.942484447909237e-10, 7.355741016290551e-12, 6.400781814297485e-12]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_2,shiva_1.wav,soon,0.262024849653244,"['soon', 'show', 'doing', 'today', 'seven']","[0.262024849653244, 0.2104158103466034, 0.1895698606967926, 0.11220100522041321, 0.06010127812623978]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,26.20%
model_2,shiva_2.wav,few,0.9032155275344849,"['few', 'until', 'idea', 'street', 'include']","[0.9032155275344849, 0.09675825387239456, 5.399312613008078e-06, 5.095786946185399e-06, 4.694333711086074e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,90.32%
model_2,munez_2.wav,within,0.9856728315353394,"['within', 'please', 'wind', 'woman', 'really']","[0.9856728315353394, 0.009481428191065788, 0.0032822294160723686, 0.0013930477434769273, 9.84151047305204e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,98.57%
model_2,munez_3.wav,within,0.4639398157596588,"['within', 'doing', 'woman', 'really', 'today']","[0.4639398157596588, 0.3429337739944458, 0.1891336888074875, 0.0035164819564670324, 0.00032419938361272216]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,46.39%
model_2,nigga2.wav,yes,0.9998698234558105,"['yes', 'englishman', 'idea', 'war', 'water']","[0.9998698234558105, 7.149829616537318e-05, 5.8502988395048305e-05, 7.806477242411347e-08, 2.0278674739415692e-08]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,99.99%
model_2,nigga3.wav,yes,1.0,"['yes', 'idea', 'englishman', 'today', 'war']","[1.0, 3.390333846997606e-11, 1.485765720524168e-13, 4.5823499755889935e-17, 3.2676453227372174e-17]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_2,kallan_1.wav,south,0.8239378929138184,"['south', 'father', 'family', 'following', 'without']","[0.8239378929138184, 0.1757386177778244, 0.00030802065157331526, 9.653495908423793e-06, 2.5322472083644243e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,82.39%
model_2,kallan_2.wav,money,0.9994416832923889,"['money', 'among', 'morning', 'wanted', 'father']","[0.9994416832923889, 0.000553967256564647, 1.4052294545763289e-06, 1.144301450040075e-06, 5.808824425912462e-07]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,99.94%
model_2,Hello1.mp3,girl,0.9863112568855286,"['girl', 'top', 'group', 'heart', 'help']","[0.9863112568855286, 0.01238380465656519, 0.0007165196584537625, 0.000362229737220332, 0.00022535069729201496]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,98.63%
model_2,Eliza1.mp3,water,0.9260656237602234,"['water', 'father', 'well', 'without', 'river']","[0.9260656237602234, 0.05609149858355522, 0.011594647541642189, 0.0029873030725866556, 0.002593196928501129]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,92.61%
model_2,Skywalker_en-AU-jimm.mp3,son,0.9999086856842041,"['son', 'small', 'father', 'sun', 'seven']","[0.9999086856842041, 3.9730472053634e-05, 2.9151107810321264e-05, 1.771925417415332e-05, 3.6031963190907845e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,99.99%
model_2,Skywalker_en-AU-kylie.mp3,seven,1.0,"['seven', 'following', 'family', 'sun', 'children']","[1.0, 4.3601133120629854e-11, 5.3662417391631134e-12, 5.940723173808449e-13, 4.648267998603344e-16]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_2,Thunderbolt_en-AU-jimm.mp3,father,0.7788096070289612,"['father', 'number', 'album', 'under', 'public']","[0.7788096070289612, 0.1966114193201065, 0.020436426624655724, 0.004088657908141613, 1.8947790522361174e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,77.88%
model_2,Thunderbolt_en-AU-kylie.mp3,number,0.9999988079071045,"['number', 'among', 'become', 'family', 'done']","[0.9999988079071045, 1.1311785783618689e-06, 2.9836439985331253e-09, 1.2006868832514783e-09, 5.532909685967979e-10]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep27,100.00%
model_3,sam_1.wav,sun,0.9783632755279541,"['sun', 'son', 'soon', 'seven', 'system']","[0.9783632755279541, 0.020309776067733765, 0.0007194482022896409, 0.0005776453763246536, 1.582758159202058e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,97.84%
model_3,sam_2.wav,son,0.8906242251396179,"['son', 'sun', 'seven', 'done', 'father']","[0.8906242251396179, 0.10874597728252411, 0.0005738118197768927, 2.5546563847456127e-05, 1.984828668355476e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,89.06%
model_3,shambu_1.wav,done,0.9834322333335876,"['done', 'young', 'family', 'children', 'son']","[0.9834322333335876, 0.013975244015455246, 0.0019430321408435702, 0.0004731322405859828, 0.00014783322694711387]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,98.34%
model_3,shambu_2.wav,until,0.9999359846115112,"['until', 'become', 'done', 'few', 'under']","[0.9999359846115112, 2.852321085811127e-05, 1.5411467757076025e-05, 1.1596233889576979e-05, 4.263868504494894e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,99.99%
model_3,alexa_1.wav,idea,0.9999998807907104,"['idea', 'anything', 'already', 'really', 'everything']","[0.9999998807907104, 7.012407365891704e-08, 6.240004069013594e-10, 1.0350691831417791e-10, 2.6037311195992174e-11]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,100.00%
model_3,alexa_2.wav,few,0.9514774680137634,"['few', 'everyone', 'ever', 'play', 'idea']","[0.9514774680137634, 0.01546415127813816, 0.007800258230417967, 0.005157858598977327, 0.004861842840909958]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,95.15%
model_3,alexa_3.wav,everything,0.6274712681770325,"['everything', 'anything', 'within', 'please', 'until']","[0.6274712681770325, 0.3563041388988495, 0.01343680452555418, 0.0014817313058301806, 0.00026701766182668507]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,62.75%
model_3,alexa_4.wav,family,0.7271204590797424,"['family', 'public', 'early', 'anything', 'language']","[0.7271204590797424, 0.1796647161245346, 0.04223453998565674, 0.029729343950748444, 0.007829759269952774]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,72.71%
model_3,alexa_5.wav,idea,1.0,"['idea', 'until', 'under', 'anything', 'water']","[1.0, 3.669329423638956e-11, 6.303614748237596e-12, 7.531063988576447e-13, 2.1602309513684553e-13]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,100.00%
model_3,shiva_1.wav,soon,0.48701032996177673,"['soon', 'seven', 'family', 'sun', 'today']","[0.48701032996177673, 0.1715300977230072, 0.11402886360883713, 0.05248592793941498, 0.047148559242486954]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,48.70%
model_3,shiva_2.wav,few,0.9492720365524292,"['few', 'until', 'idea', 'street', 'give']","[0.9492720365524292, 0.050241537392139435, 0.00041845557279884815, 2.6623205485520884e-05, 1.3023734936723486e-05]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,94.93%
model_3,munez_2.wav,within,0.6455690264701843,"['within', 'wind', 'woman', 'doing', 'really']","[0.6455690264701843, 0.34208378195762634, 0.011265753768384457, 0.0005102686700411141, 0.0004668078036047518]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,64.56%
model_3,munez_3.wav,woman,0.9921229481697083,"['woman', 'within', 'doing', 'really', 'today']","[0.9921229481697083, 0.006277532782405615, 0.001576431910507381, 1.973767029994633e-05, 1.7906847915583057e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,99.21%
model_3,nigga2.wav,yes,0.9949766993522644,"['yes', 'englishman', 'idea', 'war', 'water']","[0.9949766993522644, 0.004772698041051626, 0.0002494158106856048, 8.898343253349594e-07, 2.7312114525557263e-07]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,99.50%
model_3,nigga3.wav,yes,1.0,"['yes', 'idea', 'englishman', 'children', 'war']","[1.0, 6.177981737298666e-11, 5.48640907011011e-12, 1.9981134531232153e-15, 6.713422997770994e-17]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,100.00%
model_3,kallan_1.wav,father,0.6079496741294861,"['father', 'south', 'family', 'following', 'public']","[0.6079496741294861, 0.17512758076190948, 0.1565796285867691, 0.04890212044119835, 0.005473298020660877]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,60.79%
model_3,kallan_2.wav,money,0.966657817363739,"['money', 'among', 'sun', 'well', 'father']","[0.966657817363739, 0.031654585152864456, 0.0005943615105934441, 0.00028866445063613355, 0.0002001867105718702]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,96.67%
model_3,Hello1.mp3,girl,0.9992875456809998,"['girl', 'group', 'top', 'heart', 'everyone']","[0.9992875456809998, 0.00036459631519392133, 0.0003094796556979418, 3.4633423638297245e-05, 2.621851990625146e-06]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,99.93%
model_3,Eliza1.mp3,water,0.6073012351989746,"['water', 'well', 'woman', 'river', 'war']","[0.6073012351989746, 0.35210803151130676, 0.02005706913769245, 0.00399048114195466, 0.003382745897397399]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,60.73%
model_3,Skywalker_en-AU-jimm.mp3,son,0.3662780225276947,"['son', 'father', 'small', 'following', 'sun']","[0.3662780225276947, 0.3274770677089691, 0.29511144757270813, 0.008502058684825897, 0.002175635425373912]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,36.63%
model_3,Skywalker_en-AU-kylie.mp3,seven,1.0,"['seven', 'family', 'following', 'sometimes', 'sun']","[1.0, 1.804616178713303e-10, 1.682471349739867e-11, 4.410284529070274e-13, 3.63990304910744e-13]","tensor([[0., 0., 0.,  ..., 0., 0., 0.]], device='cuda:0')",True,v33_ep24,100.00%
